[4.62067395e-01 8.24114025e-01 5.05226410e-07],[ 0.519288    0.799196   -0.02852449],[ 0.5607208   0.72566026 -0.0368969 ],[ 0.56403828  0.64954883 -0.04275637],[ 0.54272771  0.5970372  -0.04837219],[ 0.51870406  0.60469788 -0.01560155],[ 0.53648686  0.51565069 -0.03116214],[ 0.54765469  0.45806497 -0.04464091],[ 0.55594057  0.4106279  -0.05402756],[ 0.48122743  0.58994842 -0.01457195],[ 0.49721804  0.48926684 -0.0265997 ],[ 0.50760776  0.42538026 -0.03899522],[ 0.51563901  0.37251651 -0.04768746],[ 0.44370773  0.59247231 -0.01794205],[ 0.44899645  0.49243152 -0.03294979],[ 0.45556232  0.42635986 -0.04729204],[ 0.46133563  0.37314698 -0.05647792],[ 0.40277052  0.61332226 -0.02400969],[ 0.39133143  0.53324986 -0.04115265],[ 0.3858512   0.47776097 -0.05130672],[ 0.38221401  0.42766809 -0.05729473]
[4.57409680e-01 8.36712837e-01 4.94681046e-07],[ 0.52216786  0.80380625 -0.02684842],[ 0.56508559  0.72414112 -0.03346108],[ 0.56879091  0.64488304 -0.03835629],[ 0.5402264   0.6003015  -0.04307327],[ 0.51985902  0.60211897 -0.0088877 ],[ 0.5372858   0.51283658 -0.02383024],[ 0.54856223  0.45670155 -0.03870174],[ 0.55796951  0.40862137 -0.04971671],[ 0.48197338  0.58791196 -0.00890678],[ 0.49766999  0.487791   -0.02087451],[ 0.50877589  0.42473552 -0.03511344],[ 0.51818049  0.37251782 -0.04587367],[ 0.44344711  0.59208912 -0.01360151],[ 0.44949681  0.4916507  -0.02852791],[ 0.45707437  0.42652473 -0.04373832],[ 0.46492669  0.37481803 -0.05409461],[ 0.401173    0.61405826 -0.02111511],[ 0.38966501  0.53490937 -0.03708574],[ 0.38400292  0.47877392 -0.04720107],[ 0.38090584  0.42791089 -0.05407552]
[4.49977398e-01 8.44781399e-01 4.54050706e-07],[ 0.51940286  0.81153214 -0.0260209 ],[ 0.5640834   0.72803748 -0.03119631],[ 0.56639844  0.64630371 -0.03475352],[ 0.54055494  0.60373616 -0.03789287],[ 0.5160048   0.60617399 -0.00661434],[ 0.53421974  0.51575768 -0.02119501],[ 0.54693961  0.45921916 -0.03542319],[ 0.55705816  0.41275382 -0.04581754],[ 0.47958529  0.59106016 -0.00673   ],[ 0.49704158  0.48786473 -0.01870745],[ 0.50896007  0.42307886 -0.0325054 ],[ 0.51799822  0.37079346 -0.04264307],[ 0.44213182  0.59375054 -0.01166263],[ 0.44790557  0.48919883 -0.02711632],[ 0.45567879  0.42437264 -0.04251143],[ 0.46337682  0.37388226 -0.05255294],[ 0.40067059  0.61404848 -0.01936189],[ 0.38788769  0.53137112 -0.03584974],[ 0.38169461  0.47494972 -0.04643859],[ 0.37799573  0.42492938 -0.05342456]
[4.46800083e-01 8.47516894e-01 4.40756168e-07],[ 0.51736236  0.81129783 -0.02506555],[ 0.56588817  0.72880208 -0.03062161],[ 0.56787825  0.64727414 -0.03504635],[ 0.53935218  0.60430592 -0.03924879],[ 0.51820415  0.60333419 -0.00457387],[ 0.53622997  0.51244521 -0.01877571],[ 0.54822838  0.45588815 -0.03293006],[ 0.55809683  0.40921524 -0.04341585],[ 0.480571    0.58928454 -0.00556685],[ 0.49849647  0.48633331 -0.01726115],[ 0.51020539  0.42231125 -0.03121081],[ 0.51893145  0.36980259 -0.04157023],[ 0.44272918  0.59270507 -0.01139943],[ 0.44855607  0.48961774 -0.02648235],[ 0.45568934  0.42459333 -0.04181234],[ 0.46228099  0.37297899 -0.05206888],[ 0.40077841  0.61456877 -0.01998751],[ 0.38810983  0.53240603 -0.03621603],[ 0.38175619  0.47550121 -0.04661265],[ 0.37781969  0.42381591 -0.05360474]
[4.47158664e-01 8.50053787e-01 4.18631402e-07],[ 0.51802504  0.81150556 -0.02553334],[ 0.56517428  0.72829884 -0.03183648],[ 0.56712526  0.64706451 -0.0369651 ],[ 0.5401215   0.60266846 -0.04188928],[ 0.51728362  0.60421699 -0.00630622],[ 0.53593975  0.51284784 -0.02097915],[ 0.5476836   0.45663059 -0.03551584],[ 0.55673671  0.41004217 -0.04624874],[ 0.47964993  0.59056062 -0.00720952],[ 0.4971624   0.48676243 -0.01896484],[ 0.50796974  0.4227342  -0.03288393],[ 0.51526326  0.37033609 -0.04348228],[ 0.44196892  0.59429228 -0.01289542],[ 0.44914046  0.49110222 -0.02768221],[ 0.45669851  0.42571127 -0.04299231],[ 0.46282387  0.37370342 -0.05353928],[ 0.40072036  0.61616218 -0.02136282],[ 0.38835454  0.53403926 -0.03755685],[ 0.38207588  0.47729635 -0.04808258],[ 0.37745678  0.42629069 -0.05526219]
[4.42298532e-01 8.50003242e-01 4.07547731e-07],[ 0.51477957  0.81634021 -0.02713774],[ 0.56414104  0.72872812 -0.03188721],[ 0.56724942  0.64369375 -0.03479056],[ 0.53638202  0.60446364 -0.03740536],[ 0.51893806  0.60314357 -0.00607876],[ 0.53739768  0.51226628 -0.01916241],[ 0.54820085  0.45665896 -0.03310185],[ 0.55645722  0.40986186 -0.04389603],[ 0.48023051  0.58785772 -0.00562544],[ 0.49700856  0.484721   -0.01632041],[ 0.50748706  0.42018545 -0.03023554],[ 0.51486933  0.36797151 -0.04108831],[ 0.44123498  0.5913803  -0.01004816],[ 0.44856659  0.48773783 -0.02469914],[ 0.45638934  0.42270833 -0.04057893],[ 0.46314555  0.37190261 -0.0515487 ],[ 0.39838266  0.61280274 -0.01738758],[ 0.38695994  0.52979749 -0.03387304],[ 0.38070798  0.47320622 -0.0449835 ],[ 0.37618634  0.42251304 -0.05270868]
[4.42034274e-01 8.49869907e-01 3.88283837e-07],[ 0.51402575  0.81695348 -0.02673777],[ 0.56481272  0.73046625 -0.03177882],[ 0.56751049  0.64555538 -0.03516462],[ 0.53754807  0.60628647 -0.03836347],[ 0.51889312  0.60318357 -0.00643125],[ 0.53760266  0.51181793 -0.01996252],[ 0.54897261  0.45630389 -0.03391519],[ 0.55813771  0.41022855 -0.04470873],[ 0.47984192  0.58891946 -0.0063502 ],[ 0.49633697  0.48569378 -0.01772632],[ 0.50660908  0.42163104 -0.03193577],[ 0.51400304  0.36973014 -0.04300001],[ 0.44112709  0.59272677 -0.0110742 ],[ 0.44862396  0.48875982 -0.02628404],[ 0.45550433  0.42354161 -0.04233965],[ 0.46135405  0.37202021 -0.05344548],[ 0.39916107  0.61414117 -0.01865883],[ 0.3872053   0.53148341 -0.03588264],[ 0.38060474  0.47447234 -0.04763538],[ 0.37567806  0.42259896 -0.05573685]
[4.45567012e-01 8.44657779e-01 4.09061784e-07],[ 0.51548702  0.80950874 -0.02629678],[ 0.56382132  0.72663873 -0.03205194],[ 0.56551158  0.64518839 -0.03621542],[ 0.53323197  0.60969079 -0.04008458],[ 0.51722652  0.59929323 -0.0067777 ],[ 0.53589553  0.50946999 -0.02018597],[ 0.54684645  0.45521557 -0.03415933],[ 0.55596691  0.40968749 -0.04520569],[ 0.47896472  0.58460259 -0.00699863],[ 0.49547356  0.48330057 -0.01842732],[ 0.50601363  0.42033213 -0.03247151],[ 0.51384556  0.36932722 -0.04355896],[ 0.44080412  0.58887243 -0.01193472],[ 0.44721541  0.48584712 -0.02695984],[ 0.45404869  0.42232549 -0.04270817],[ 0.46019289  0.37154457 -0.05374411],[ 0.40006655  0.61132568 -0.01970667],[ 0.38817808  0.53098989 -0.03652047],[ 0.38164762  0.47503549 -0.04800921],[ 0.37709281  0.42379934 -0.05610963]
[4.45229888e-01 8.44434738e-01 4.03544163e-07],[ 0.51491809  0.81112373 -0.0268919 ],[ 0.5643543   0.72695154 -0.03268165],[ 0.56620878  0.64453673 -0.03657738],[ 0.53216231  0.61013979 -0.04032717],[ 0.51721126  0.59996831 -0.00818681],[ 0.53566891  0.51072574 -0.0218359 ],[ 0.54628873  0.45534194 -0.03600045],[ 0.55440468  0.40892574 -0.04715622],[ 0.47909045  0.58519644 -0.00823421],[ 0.49609107  0.48400512 -0.01989748],[ 0.50671512  0.42043734 -0.03413885],[ 0.51405954  0.36914811 -0.04530382],[ 0.44077641  0.58941203 -0.01289508],[ 0.44802916  0.48626244 -0.02816669],[ 0.45604935  0.42185086 -0.04417804],[ 0.46296933  0.37069473 -0.05537476],[ 0.39889121  0.6118753  -0.02037633],[ 0.38737619  0.53107166 -0.03735533],[ 0.38103688  0.47510499 -0.04882627],[ 0.37649429  0.4242799  -0.05691738]
[4.45529908e-01 8.45811903e-01 4.22440280e-07],[ 0.51786733  0.81437439 -0.02562658],[ 0.56791592  0.72735202 -0.03027255],[ 0.56909156  0.64477688 -0.03333134],[ 0.53208041  0.62048966 -0.03643036],[ 0.51859605  0.59893554 -0.00617456],[ 0.5367384   0.50960302 -0.0183689 ],[ 0.54824662  0.45437777 -0.03184393],[ 0.55725658  0.40848604 -0.04282044],[ 0.47953013  0.58482325 -0.00688628],[ 0.49573773  0.48329043 -0.01690799],[ 0.50710762  0.41897401 -0.03062039],[ 0.51485819  0.36683768 -0.04169841],[ 0.44069099  0.58988708 -0.01212468],[ 0.44701371  0.48659992 -0.02594648],[ 0.45532823  0.4213174  -0.04239213],[ 0.46228626  0.36956328 -0.05419219],[ 0.39895433  0.61265302 -0.02015929],[ 0.38643646  0.53078681 -0.03597146],[ 0.38005707  0.47455996 -0.04747786],[ 0.37561849  0.42358014 -0.05599489]
