[3.02086413e-01 8.11948597e-01 7.16129534e-07],[ 0.37761396  0.78475249 -0.04020063],[ 0.42538172  0.72730654 -0.05343825],[ 0.46050751  0.65446943 -0.05963461],[ 0.48989129  0.59862435 -0.06460016],[ 0.37171853  0.59626245 -0.03509849],[ 0.39882821  0.49543214 -0.0482582 ],[ 0.41454321  0.43507695 -0.05893014],[ 0.42667544  0.38397616 -0.06818177],[ 0.32788095  0.57829487 -0.02788223],[ 0.33717829  0.47053611 -0.04506797],[ 0.34189621  0.39911777 -0.06448062],[ 0.34683877  0.34327364 -0.07872843],[ 0.28398979  0.58589393 -0.02354401],[ 0.28062743  0.4790265  -0.04289584],[ 0.27828574  0.41363385 -0.06111953],[ 0.27934799  0.35673755 -0.07324523],[ 0.24185379  0.61742157 -0.02185809],[ 0.22215533  0.52923816 -0.04403522],[ 0.20996556  0.48227519 -0.05682612],[ 0.20296149  0.43379259 -0.06409594]
[3.00657541e-01 8.20803404e-01 5.93291418e-07],[ 0.37233123  0.79475605 -0.03359018],[ 0.42792389  0.72223252 -0.04636694],[ 0.46231443  0.65120071 -0.0559853 ],[ 0.49170613  0.59826672 -0.06484118],[ 0.37505135  0.58457541 -0.02490199],[ 0.40415329  0.49094379 -0.04200423],[ 0.42071569  0.43335474 -0.05603091],[ 0.43169737  0.3867889  -0.06629524],[ 0.33013183  0.56957805 -0.02265766],[ 0.34214485  0.45932403 -0.03709794],[ 0.34772307  0.39317238 -0.05043162],[ 0.35024196  0.343023   -0.05993447],[ 0.28692263  0.57802117 -0.02477971],[ 0.28504226  0.47057939 -0.04200649],[ 0.28329623  0.4051801  -0.05635568],[ 0.28299615  0.35243315 -0.06579783],[ 0.24422559  0.6069954  -0.02988984],[ 0.22485979  0.52813661 -0.04994971],[ 0.21150391  0.47760138 -0.06065164],[ 0.20237446  0.43000162 -0.06637552]
[2.96613842e-01 8.22010994e-01 5.42569694e-07],[ 0.36798421  0.79620308 -0.03319279],[ 0.42547432  0.72289103 -0.04502466],[ 0.46268737  0.65053999 -0.05415709],[ 0.49496299  0.59733343 -0.06241303],[ 0.37331435  0.5821197  -0.02065669],[ 0.40533394  0.48883599 -0.03694716],[ 0.42232376  0.43223071 -0.05077513],[ 0.43390054  0.38648105 -0.06108694],[ 0.32815719  0.56628871 -0.01833234],[ 0.34179518  0.45643911 -0.0323475 ],[ 0.34816486  0.39051408 -0.04611809],[ 0.35139087  0.34120914 -0.05614408],[ 0.28568727  0.57408851 -0.02067201],[ 0.28364572  0.46922296 -0.03705066],[ 0.28250667  0.40461099 -0.05162494],[ 0.28260782  0.35079089 -0.06171911],[ 0.24443959  0.60220081 -0.02619189],[ 0.22575086  0.52625299 -0.04535572],[ 0.21224955  0.47637704 -0.05617908],[ 0.20254889  0.42764893 -0.06238877]
[2.98335165e-01 8.21769655e-01 4.89030356e-07],[ 0.36876535  0.79603893 -0.03089831],[ 0.42584825  0.71774662 -0.04088054],[ 0.46026409  0.64417893 -0.04861166],[ 0.49434066  0.5954212  -0.0556724 ],[ 0.37436914  0.5801217  -0.01869919],[ 0.40565228  0.48836792 -0.03441344],[ 0.42241156  0.43187207 -0.04775229],[ 0.43357128  0.38618851 -0.05791465],[ 0.32892817  0.56532842 -0.0176089 ],[ 0.34173855  0.4561547  -0.0316584 ],[ 0.34824833  0.39046511 -0.04503722],[ 0.35161355  0.33979997 -0.0548461 ],[ 0.28702399  0.57388306 -0.02104194],[ 0.28414252  0.47006828 -0.03767283],[ 0.2834495   0.40594271 -0.05175244],[ 0.28392753  0.35167643 -0.06147638],[ 0.24564755  0.60245275 -0.0275299 ],[ 0.22582695  0.52600038 -0.04667764],[ 0.21275161  0.47538257 -0.05741471],[ 0.2040184   0.42538625 -0.06376114]
[2.98283875e-01 8.20482969e-01 5.07078880e-07],[ 0.36905357  0.79513901 -0.03162503],[ 0.42650938  0.71890497 -0.04228066],[ 0.46107894  0.64489019 -0.05055219],[ 0.49402791  0.59494573 -0.05806641],[ 0.37382713  0.57938641 -0.01959538],[ 0.40625742  0.48655292 -0.03552478],[ 0.42377758  0.42918515 -0.04882642],[ 0.43583173  0.38388389 -0.058811  ],[ 0.32887557  0.56436318 -0.01793642],[ 0.34183624  0.45446563 -0.03195774],[ 0.34787026  0.38857502 -0.04505734],[ 0.35077062  0.33905149 -0.05451985],[ 0.28727418  0.5725491  -0.02082641],[ 0.28495279  0.46561378 -0.03769261],[ 0.28423795  0.40138736 -0.05167942],[ 0.28447139  0.3483693  -0.06116121],[ 0.24643517  0.60064977 -0.02676285],[ 0.22700697  0.52308679 -0.04654089],[ 0.21413404  0.47227889 -0.05755872],[ 0.20529376  0.42339802 -0.06378542]
[2.97142714e-01 8.16872895e-01 5.18235595e-07],[ 0.36762094  0.7938633  -0.03380313],[ 0.42561889  0.71953368 -0.04576489],[ 0.46209374  0.64658868 -0.05492413],[ 0.49568784  0.59444875 -0.06330422],[ 0.37376782  0.57802004 -0.02194756],[ 0.40613103  0.48551247 -0.03882124],[ 0.42322224  0.42888126 -0.05288121],[ 0.4347581   0.38315737 -0.06341691],[ 0.32885823  0.56181377 -0.01935169],[ 0.34323305  0.45310512 -0.03410913],[ 0.34987661  0.38782042 -0.04806367],[ 0.35316277  0.33901852 -0.05831898],[ 0.28671244  0.56937563 -0.02145123],[ 0.28580731  0.4646818  -0.03847603],[ 0.28532618  0.40092385 -0.05307011],[ 0.28587145  0.34782618 -0.063246  ],[ 0.24542341  0.59720737 -0.02676957],[ 0.2273356   0.52175903 -0.04631646],[ 0.21425939  0.47228697 -0.05742017],[ 0.20485514  0.42416546 -0.0639575 ]
[2.98641950e-01 8.17670524e-01 5.01118507e-07],[ 0.36899555  0.79235494 -0.03238367],[ 0.42621493  0.716663   -0.04397311],[ 0.46287149  0.64423043 -0.05308682],[ 0.49741459  0.59329796 -0.06154368],[ 0.37560326  0.57710934 -0.02140989],[ 0.40714639  0.48586529 -0.03835691],[ 0.42432669  0.43027174 -0.0525535 ],[ 0.43591213  0.38516316 -0.06324554],[ 0.33005655  0.56156063 -0.01993387],[ 0.34276572  0.45229775 -0.03489332],[ 0.34998232  0.38687938 -0.048971  ],[ 0.35377997  0.33718014 -0.05931153],[ 0.28790233  0.57002348 -0.02302635],[ 0.28628713  0.46515873 -0.0404418 ],[ 0.28617194  0.40096933 -0.05526409],[ 0.28704733  0.34716412 -0.06544504],[ 0.2472893   0.59842974 -0.02920178],[ 0.22875616  0.52126801 -0.04914902],[ 0.21581975  0.47046882 -0.06050222],[ 0.20676968  0.42090189 -0.06717164]
[2.99589813e-01 8.16699564e-01 5.17061835e-07],[ 0.36980474  0.79039073 -0.03244637],[ 0.42724428  0.71567762 -0.0442106 ],[ 0.4646678   0.64439219 -0.05351732],[ 0.49855384  0.59430534 -0.06203688],[ 0.37586167  0.57717443 -0.02057562],[ 0.4089154   0.48613667 -0.03714466],[ 0.42583296  0.42990255 -0.05110925],[ 0.43681699  0.38498959 -0.06164131],[ 0.33065143  0.56097007 -0.01896487],[ 0.34433457  0.45120311 -0.03372541],[ 0.35125399  0.38634565 -0.04764686],[ 0.35464552  0.33810949 -0.05774774],[ 0.28834474  0.56878507 -0.02192193],[ 0.2875281   0.46310857 -0.03890707],[ 0.28736311  0.3997038  -0.05306043],[ 0.28800452  0.34720147 -0.06281963],[ 0.24738833  0.59678489 -0.02799928],[ 0.22917549  0.52049893 -0.04727441],[ 0.21639188  0.47026157 -0.05782903],[ 0.20744255  0.42180881 -0.06393015]
[2.99227715e-01 8.14930201e-01 4.99030705e-07],[ 0.36928141  0.7908361  -0.03260635],[ 0.4272083   0.71703285 -0.04397567],[ 0.46297744  0.64413333 -0.05283796],[ 0.49718654  0.59512717 -0.06092686],[ 0.37579942  0.57754552 -0.02082567],[ 0.40859985  0.48716128 -0.03761078],[ 0.42564747  0.43114716 -0.05167283],[ 0.43690985  0.38600317 -0.06227959],[ 0.33054328  0.56127459 -0.01900773],[ 0.34473985  0.45214862 -0.03431523],[ 0.3518759   0.3868719  -0.04840506],[ 0.3554287   0.33771402 -0.05858604],[ 0.28856483  0.56857258 -0.02177381],[ 0.28802699  0.4633773  -0.03963645],[ 0.28813228  0.39994377 -0.05432273],[ 0.28899869  0.34731716 -0.06423266],[ 0.24778737  0.59588009 -0.02761658],[ 0.2299097   0.51920831 -0.04767592],[ 0.21738134  0.46931702 -0.0587885 ],[ 0.20859712  0.4209823  -0.06520052]
[2.99698859e-01 8.15064728e-01 5.19634739e-07],[ 0.37047896  0.7870509  -0.03160961],[ 0.4273918   0.71417731 -0.04332906],[ 0.46521133  0.64308465 -0.05291622],[ 0.49912226  0.59168911 -0.06178081],[ 0.37708664  0.57633299 -0.01876373],[ 0.40959808  0.48506755 -0.03479852],[ 0.42604545  0.42939851 -0.0485576 ],[ 0.43659824  0.38413021 -0.05895967],[ 0.3325339   0.56056815 -0.01756346],[ 0.34614164  0.45208776 -0.03167661],[ 0.35253257  0.38672549 -0.04563697],[ 0.35515907  0.33688349 -0.05590429],[ 0.29032624  0.56821251 -0.02094973],[ 0.28817165  0.46426123 -0.03737346],[ 0.28724501  0.40068203 -0.05168937],[ 0.28724247  0.34726021 -0.06162848],[ 0.2489956   0.59579259 -0.02743266],[ 0.23062544  0.51960707 -0.04626705],[ 0.21813352  0.46915025 -0.05674959],[ 0.20936601  0.42024666 -0.06285946]
