[4.41536576e-01 7.96893239e-01 6.87877957e-07],[ 0.50384265  0.77820563 -0.04168274],[ 0.54953659  0.71683615 -0.06080879],[ 0.58667946  0.65364045 -0.07537153],[ 0.62228727  0.6012103  -0.09017489],[ 0.49395201  0.5834052  -0.03918687],[ 0.51203364  0.48854405 -0.0585752 ],[ 0.52399123  0.43026158 -0.0725669 ],[ 0.53175712  0.38327348 -0.08297427],[ 0.45057893  0.571087   -0.03365559],[ 0.4593499   0.4683159  -0.05040924],[ 0.46562195  0.40386537 -0.06448697],[ 0.46972525  0.3540622  -0.07455206],[ 0.40987745  0.58123916 -0.03248838],[ 0.40437335  0.47930339 -0.05218124],[ 0.40304172  0.41902071 -0.06733493],[ 0.40321451  0.36979744 -0.0771248 ],[ 0.37372255  0.61266649 -0.03464607],[ 0.34956869  0.53657305 -0.05751458],[ 0.3351998   0.48784563 -0.07049106],[ 0.32551455  0.44235945 -0.07764501]
[4.26304579e-01 8.17401230e-01 6.15773672e-07],[ 0.49764284  0.79077911 -0.03331381],[ 0.54954791  0.71769798 -0.04730608],[ 0.58729172  0.64621335 -0.05834853],[ 0.62292516  0.59864974 -0.06901631],[ 0.49005541  0.58549547 -0.02573615],[ 0.51356941  0.49092895 -0.04305383],[ 0.52601826  0.4309513  -0.05719987],[ 0.53421921  0.38180375 -0.06807063],[ 0.44703498  0.57182103 -0.02327025],[ 0.45900556  0.46719015 -0.03848805],[ 0.46392426  0.40134108 -0.05206858],[ 0.46585914  0.34717375 -0.06195745],[ 0.40527272  0.58086413 -0.02496329],[ 0.40084812  0.47726512 -0.04307973],[ 0.39783612  0.41376507 -0.05722382],[ 0.39558569  0.36021268 -0.06647234],[ 0.36484516  0.61086529 -0.02952954],[ 0.34246582  0.53580999 -0.04922368],[ 0.32896072  0.48653895 -0.05971969],[ 0.31945956  0.43932813 -0.06567098]
[4.25206304e-01 8.25658560e-01 5.61235083e-07],[ 0.49711761  0.79482329 -0.03388523],[ 0.55031705  0.72007579 -0.04715999],[ 0.587044    0.64832234 -0.05754844],[ 0.62359113  0.59865677 -0.06713702],[ 0.48891303  0.58482051 -0.02278452],[ 0.51208186  0.49082893 -0.03985121],[ 0.52415329  0.43397534 -0.05445229],[ 0.5322299   0.3852528  -0.06565386],[ 0.44631326  0.57132661 -0.02019715],[ 0.45868549  0.46707022 -0.03536924],[ 0.46455625  0.40105876 -0.04985622],[ 0.46707496  0.34650123 -0.06057419],[ 0.40499634  0.58120447 -0.02215729],[ 0.40002045  0.48104268 -0.04004753],[ 0.39763963  0.41744035 -0.05508533],[ 0.39623073  0.36290896 -0.06511515],[ 0.36522529  0.61143839 -0.02721617],[ 0.34251565  0.53825516 -0.0468466 ],[ 0.32777542  0.48854211 -0.05784886],[ 0.31697416  0.44022512 -0.06423797]
[4.26420718e-01 8.27101648e-01 5.77767878e-07],[ 0.49873948  0.79382861 -0.03486811],[ 0.55150777  0.72149312 -0.04905478],[ 0.58602649  0.65151668 -0.06052276],[ 0.62181544  0.60076052 -0.07116339],[ 0.48813739  0.58087397 -0.02165167],[ 0.510952    0.48888463 -0.03909874],[ 0.52298981  0.43280184 -0.05476889],[ 0.53141481  0.38431937 -0.06671176],[ 0.44461572  0.56855488 -0.01896301],[ 0.45614424  0.46564811 -0.03431951],[ 0.46241739  0.40000814 -0.04932968],[ 0.46570665  0.34601209 -0.06042379],[ 0.40324408  0.58009166 -0.02113015],[ 0.39629227  0.48091888 -0.03947486],[ 0.39410034  0.41843331 -0.05449269],[ 0.39330244  0.36440933 -0.06436455],[ 0.36427945  0.61189574 -0.02660674],[ 0.34147033  0.53897464 -0.04673057],[ 0.32647765  0.48912492 -0.05774917],[ 0.3152788   0.44075686 -0.06404828]
[4.26756918e-01 8.28514576e-01 5.73479156e-07],[ 0.49932277  0.79423279 -0.0343131 ],[ 0.55217957  0.72172713 -0.04829167],[ 0.5864886   0.65139544 -0.05969806],[ 0.62168932  0.60125113 -0.07031357],[ 0.48895574  0.58213174 -0.02135144],[ 0.51191074  0.48923749 -0.03910595],[ 0.52401423  0.4331255  -0.0547824 ],[ 0.53283602  0.38502678 -0.06652717],[ 0.44504535  0.56982505 -0.01882683],[ 0.4560062   0.46520865 -0.03429415],[ 0.46270856  0.40005383 -0.04905484],[ 0.46714151  0.34715751 -0.05984174],[ 0.40334105  0.5814203  -0.02112433],[ 0.39624089  0.48229253 -0.03932886],[ 0.39397398  0.41962016 -0.05421874],[ 0.39385194  0.36624563 -0.06395012],[ 0.36388367  0.61319083 -0.02670365],[ 0.34167451  0.54046196 -0.04661586],[ 0.32667539  0.49018356 -0.0575916 ],[ 0.31561464  0.44155437 -0.06381655]
[4.26937401e-01 8.27208757e-01 5.95316919e-07],[ 0.4979547   0.79139805 -0.03602512],[ 0.55041385  0.71960557 -0.05238112],[ 0.58579814  0.6498853  -0.06595754],[ 0.62278432  0.59862    -0.07872653],[ 0.48801008  0.58024174 -0.02479336],[ 0.51075965  0.48572966 -0.04338829],[ 0.522295    0.42876011 -0.05915699],[ 0.53077209  0.38034359 -0.07109942],[ 0.44460309  0.56826741 -0.02193785],[ 0.45549569  0.46339449 -0.03861984],[ 0.46152464  0.39715821 -0.05400473],[ 0.46533337  0.34379143 -0.06526758],[ 0.40311006  0.57977623 -0.02391606],[ 0.3960368   0.47859263 -0.04287731],[ 0.39379066  0.41456491 -0.05838048],[ 0.39396217  0.35996634 -0.06872416],[ 0.36440128  0.61138982 -0.02923643],[ 0.34107232  0.53825223 -0.04997641],[ 0.32583755  0.48730421 -0.06187087],[ 0.31493804  0.43791533 -0.06882014]
[4.25665170e-01 8.27395439e-01 5.90484774e-07],[ 0.49792725  0.79178834 -0.03592169],[ 0.55083692  0.71972841 -0.05195831],[ 0.5860697   0.64882481 -0.06521579],[ 0.62263715  0.59800518 -0.07765926],[ 0.4881416   0.58004469 -0.02385672],[ 0.51178676  0.48565322 -0.04181769],[ 0.52322757  0.42877722 -0.05718482],[ 0.53128755  0.38084096 -0.06889694],[ 0.44423193  0.56777185 -0.0205637 ],[ 0.45533323  0.46347654 -0.0367189 ],[ 0.46152213  0.39809114 -0.05168919],[ 0.46544766  0.3460559  -0.06263313],[ 0.4025206   0.57888389 -0.02210935],[ 0.39522579  0.47788185 -0.04055798],[ 0.39307809  0.4141565  -0.05569913],[ 0.39332271  0.3604677  -0.06579252],[ 0.36384517  0.6103366  -0.02700484],[ 0.34081206  0.53683746 -0.04733988],[ 0.32595873  0.48572451 -0.05904081],[ 0.31538865  0.43683833 -0.06582437]
[4.26444620e-01 8.27554941e-01 5.77726837e-07],[ 0.49993652  0.79313231 -0.03602853],[ 0.5522778   0.7216593  -0.05130909],[ 0.58616072  0.65077925 -0.0638575 ],[ 0.62358606  0.60059392 -0.07548051],[ 0.48963848  0.58200777 -0.02221289],[ 0.51226401  0.48776063 -0.03967564],[ 0.52388525  0.43105996 -0.0548543 ],[ 0.53236985  0.38253456 -0.06658118],[ 0.44616792  0.56994802 -0.01889439],[ 0.45681986  0.46663332 -0.03486363],[ 0.46308321  0.40091661 -0.05003112],[ 0.46706641  0.34701544 -0.06128237],[ 0.40461338  0.58079326 -0.02061975],[ 0.39694896  0.4818899  -0.03964263],[ 0.3952865   0.41870674 -0.0552985 ],[ 0.39569443  0.36451533 -0.06561036],[ 0.36564302  0.61028546 -0.02574867],[ 0.34178719  0.53742701 -0.04671358],[ 0.32659888  0.48671269 -0.0589647 ],[ 0.31543809  0.43767762 -0.06619826]
[4.27635998e-01 8.26972306e-01 5.79610287e-07],[ 0.49995768  0.79277372 -0.03641109],[ 0.55156535  0.7205953  -0.05187936],[ 0.58589518  0.65068436 -0.06442135],[ 0.62414616  0.60052246 -0.07612256],[ 0.48947909  0.58264464 -0.02401398],[ 0.51146609  0.48938051 -0.0422549 ],[ 0.52311653  0.43220419 -0.05801146],[ 0.53147161  0.38248301 -0.07019698],[ 0.44653559  0.57060176 -0.02088354],[ 0.45733717  0.46752951 -0.03750323],[ 0.46287736  0.40070623 -0.05298819],[ 0.46571645  0.34488428 -0.06451665],[ 0.40510035  0.58162361 -0.02279081],[ 0.39825264  0.48200268 -0.04254505],[ 0.39644241  0.41804487 -0.05862886],[ 0.3963663   0.36207873 -0.06925335],[ 0.36585185  0.61126804 -0.02809148],[ 0.3421264   0.53833628 -0.04976769],[ 0.32665172  0.48774993 -0.0623664 ],[ 0.31507325  0.43797529 -0.06989881]
[4.24082160e-01 8.29273999e-01 5.99089731e-07],[ 0.49868008  0.79551601 -0.03575285],[ 0.55308074  0.72537816 -0.0511896 ],[ 0.58756012  0.65398723 -0.06386036],[ 0.62455797  0.60170197 -0.07578628],[ 0.48841131  0.584512   -0.02218614],[ 0.51129121  0.48999435 -0.03979406],[ 0.52293849  0.43212143 -0.05527265],[ 0.53132069  0.38242385 -0.06708971],[ 0.44546339  0.57183397 -0.01879183],[ 0.45703518  0.46766794 -0.03438455],[ 0.46278214  0.40077889 -0.04972556],[ 0.46612209  0.34582847 -0.06105818],[ 0.40421274  0.58228803 -0.02024656],[ 0.39763725  0.48240703 -0.03843299],[ 0.39476404  0.41879478 -0.0538999 ],[ 0.39367783  0.36431748 -0.06415527],[ 0.36515546  0.61211687 -0.02503444],[ 0.34312421  0.53970444 -0.04508492],[ 0.32845843  0.48852593 -0.05674466],[ 0.31742543  0.43946952 -0.06349994]
