[4.44176823e-01 6.57156765e-01 3.38714500e-07],[ 0.49796554  0.65411067 -0.03849657],[ 0.54564917  0.60734719 -0.05578038],[ 0.58229661  0.55774039 -0.06962427],[ 0.61754036  0.52123475 -0.08296675],[ 0.52270818  0.48982453 -0.02308949],[ 0.52839565  0.41526365 -0.03983665],[ 0.52936667  0.36151946 -0.05235054],[ 0.52994579  0.31951475 -0.06155172],[ 0.48163939  0.475445   -0.01430434],[ 0.48578581  0.40175664 -0.03849588],[ 0.48027834  0.44639152 -0.0453221 ],[ 0.482149    0.48921043 -0.04259016],[ 0.44275343  0.47782201 -0.00983037],[ 0.44918281  0.40046868 -0.03746993],[ 0.44581327  0.44482571 -0.03487438],[ 0.44779235  0.48751363 -0.02416964],[ 0.40707904  0.49447852 -0.00831659],[ 0.41092345  0.4296464  -0.0312427 ],[ 0.41321439  0.45413828 -0.02896864],[ 0.41582161  0.48891082 -0.02032046]
[4.38650459e-01 6.74364150e-01 1.90754093e-07],[ 0.49940646  0.66381305 -0.03405625],[ 0.54677516  0.61228234 -0.04817123],[ 0.58705282  0.55594361 -0.06051927],[ 0.62124652  0.51788163 -0.07206   ],[ 0.52065128  0.48806453 -0.0114077 ],[ 0.52856028  0.40870637 -0.02272649],[ 0.53046089  0.35394204 -0.03032524],[ 0.5311287   0.31093913 -0.03670758],[ 0.48357651  0.47677398 -0.00557269],[ 0.48973906  0.39587262 -0.02817644],[ 0.48383346  0.44817427 -0.03318879],[ 0.48260269  0.49058306 -0.02826065],[ 0.44621825  0.47956586 -0.00408063],[ 0.45225289  0.39976937 -0.02837076],[ 0.44984508  0.44915074 -0.02239908],[ 0.44719988  0.49077159 -0.00991888],[ 0.40834689  0.49373806 -0.00596323],[ 0.41054231  0.42546797 -0.02499241],[ 0.41491446  0.45289505 -0.02090146],[ 0.41670382  0.48504004 -0.01200833]
[4.37396973e-01 6.87989473e-01 1.27030660e-07],[ 0.50203902  0.67077196 -0.03107954],[ 0.5511539   0.61338019 -0.04067754],[ 0.58981031  0.55417019 -0.04956265],[ 0.62440223  0.51780218 -0.05735902],[ 5.20762503e-01  4.91791219e-01 -3.13299854e-04],[ 0.52775818  0.41046575 -0.01110275],[ 0.5283491   0.35673022 -0.02119219],[ 0.52962571  0.31199467 -0.02997241],[0.48458058 0.48011535 0.00396422],[ 0.49125484  0.39589494 -0.02264375],[ 0.48377106  0.44194633 -0.03484968],[ 0.48067012  0.48948443 -0.03432722],[0.447079   0.48240662 0.00388769],[ 0.45313561  0.40035695 -0.02362055],[ 0.44886085  0.44517231 -0.02360931],[ 0.4463827   0.49134263 -0.01419166],[0.40903252 0.4956221  0.00073578],[ 0.41256237  0.42827109 -0.01959865],[ 0.41555044  0.45240656 -0.01853299],[ 0.41787711  0.48647034 -0.01157477]
[4.37777579e-01 6.91817045e-01 1.32441272e-07],[ 0.50177222  0.67155367 -0.03153105],[ 0.55115038  0.61256289 -0.04123793],[ 0.5898363   0.55309927 -0.05030702],[ 0.62428331  0.51899981 -0.05810432],[0.52125162 0.49074364 0.00162122],[ 0.52792287  0.40813366 -0.00912293],[ 0.52768576  0.35473898 -0.01987719],[ 0.52856755  0.30964562 -0.02937889],[0.48525053 0.4801195  0.00575749],[ 0.49253425  0.39523953 -0.02228418],[ 0.4853037   0.44126529 -0.03654016],[ 0.4823454   0.4899666  -0.03730012],[0.4475458  0.48273388 0.00542815],[ 0.45306826  0.40005803 -0.02311499],[ 0.44946736  0.44403222 -0.02485015],[ 0.44748566  0.49088755 -0.0164612 ],[0.40907225 0.49537155 0.00199478],[ 0.41302681  0.42630252 -0.0187469 ],[ 0.41588598  0.45066214 -0.01836863],[ 0.41798675  0.48572329 -0.01194548]
[4.40530717e-01 6.90526664e-01 1.19905863e-07],[ 0.50198352  0.66939837 -0.03192195],[ 0.55304724  0.61101145 -0.04278655],[ 0.59012353  0.55328244 -0.05316487],[ 0.6222744   0.51702905 -0.06241549],[ 0.52044588  0.49050033 -0.00168336],[ 0.52707994  0.40775651 -0.01484122],[ 0.52627897  0.35510015 -0.02748062],[ 0.52724093  0.30978623 -0.03819992],[0.48383892 0.47989246 0.00162473],[ 0.49072361  0.39396238 -0.02995319],[ 0.48333845  0.43951342 -0.04755742],[ 0.48006144  0.48824126 -0.0506341 ],[0.44603628 0.48198989 0.00074139],[ 0.45000651  0.39818916 -0.0297134 ],[ 0.44676581  0.43987176 -0.03416644],[ 0.44509727  0.48790732 -0.02769861],[ 0.40851724  0.49445003 -0.0031771 ],[ 0.41120237  0.42627931 -0.02420638],[ 0.41377664  0.44720954 -0.02522808],[ 0.41516772  0.48123896 -0.02015086]
[4.37794030e-01 6.90967202e-01 1.20822349e-07],[ 0.5007816   0.6697681  -0.03130786],[ 0.55218232  0.61189812 -0.04150727],[ 0.58981079  0.55350113 -0.0514125 ],[ 0.62180173  0.51821536 -0.06014022],[0.52029961 0.49042481 0.00081886],[ 0.52762419  0.40906546 -0.01154859],[ 0.52691859  0.35629213 -0.02367771],[ 0.52787125  0.31096187 -0.0339641 ],[0.48398232 0.47951549 0.00408937],[ 0.49061394  0.39409006 -0.02676394],[ 0.48285294  0.4391979  -0.04378012],[ 0.47930974  0.48824117 -0.04613537],[0.44626772 0.4814125  0.00308308],[ 0.45054168  0.39954871 -0.02713681],[ 0.44686764  0.4411965  -0.03138417],[ 0.44501668  0.48876476 -0.02441145],[ 0.40824363  0.4934684  -0.00093087],[ 0.41164926  0.42530662 -0.02173615],[ 0.41379765  0.44675502 -0.02239817],[ 0.41489542  0.48091751 -0.01678701]
[4.34947461e-01 6.90396070e-01 1.22127773e-07],[ 0.49787268  0.67075026 -0.03123052],[ 0.55057651  0.6102187  -0.04155078],[ 0.58887655  0.55197108 -0.05139899],[ 0.62213391  0.51537675 -0.0597991 ],[5.21529794e-01 4.88868028e-01 3.18054226e-04],[ 0.52751541  0.40835467 -0.01266355],[ 0.52635473  0.35530546 -0.024158  ],[ 0.52688605  0.31001675 -0.03366877],[0.48481703 0.47787708 0.00350526],[ 0.4922232   0.39314204 -0.0272062 ],[ 0.48456514  0.44086307 -0.0414618 ],[ 0.48148754  0.48962986 -0.0414555 ],[0.44634885 0.4800126  0.00220973],[ 0.45120877  0.3977032  -0.02819128],[ 0.44708872  0.44414973 -0.02814104],[ 0.44551998  0.49116901 -0.01792403],[ 0.4073495   0.4920693  -0.00224115],[ 0.4115862   0.4245171  -0.02301938],[ 0.41317245  0.4496586  -0.02090668],[ 0.41437128  0.4833284  -0.01300231]
[4.34007436e-01 6.91406250e-01 1.15198198e-07],[ 0.49705681  0.67249632 -0.03098556],[ 0.55029237  0.61046976 -0.04098537],[ 0.5892154   0.55135268 -0.05043201],[ 0.62322778  0.51477188 -0.05848646],[ 5.20990968e-01  4.88755703e-01 -3.17914848e-04],[ 0.52688301  0.40665692 -0.01315042],[ 0.52602327  0.35302597 -0.02452565],[ 0.52667886  0.30723453 -0.03405785],[0.48432148 0.47791624 0.00292265],[ 0.49190664  0.39278692 -0.02733799],[ 0.4847613   0.44004154 -0.04128662],[ 0.48187894  0.48855996 -0.04137719],[0.4461605  0.48008671 0.00175241],[ 0.45086992  0.39619416 -0.02825142],[ 0.44711858  0.44265956 -0.02787906],[ 0.44565228  0.49040517 -0.01771233],[ 0.40770161  0.49209967 -0.00257094],[ 0.41100407  0.4237594  -0.02346846],[ 0.41291183  0.44882366 -0.02149193],[ 0.41465718  0.48314881 -0.01376242]
[4.41335201e-01 6.92210436e-01 9.13653153e-08],[ 0.50190103  0.67126107 -0.02976875],[ 0.55136192  0.60982215 -0.03922444],[ 0.58842212  0.54998195 -0.04833798],[ 0.62113202  0.51400954 -0.05636681],[ 0.51974881  0.48932657 -0.00085075],[ 0.52537292  0.40824404 -0.01381221],[ 0.52438474  0.35479954 -0.02480531],[ 0.52481085  0.30808765 -0.03397997],[0.48288572 0.47849676 0.00171833],[ 0.48934665  0.39175951 -0.02806487],[ 0.48228034  0.44231212 -0.04103814],[ 0.47964686  0.49019989 -0.0404714 ],[4.45318192e-01 4.81588304e-01 1.44711492e-04],[ 0.44947112  0.39933813 -0.02938487],[ 0.44578123  0.44813561 -0.0277436 ],[ 0.44413185  0.49377084 -0.01671558],[ 0.40692633  0.49533057 -0.00440588],[ 0.41083863  0.42523748 -0.02362756],[ 0.41249293  0.45062765 -0.01976137],[ 0.41333377  0.48326984 -0.01101649]
[4.38999921e-01 6.91766381e-01 8.99021302e-08],[ 0.5004763   0.67191672 -0.03075495],[ 0.54969382  0.61090553 -0.04089721],[ 0.58782554  0.55034393 -0.05066547],[ 0.62101865  0.51384002 -0.05927386],[ 0.51988155  0.48882368 -0.00116673],[ 0.52536058  0.4069142  -0.01432133],[ 0.52344084  0.35381365 -0.02550995],[ 0.52341801  0.30749118 -0.03480923],[0.48322892 0.47797024 0.00193078],[ 0.4894779   0.39205223 -0.02797584],[ 0.48123315  0.44222608 -0.04118348],[ 0.4784551   0.48931867 -0.0407991 ],[0.44536355 0.48074701 0.00073688],[ 0.45062986  0.39907518 -0.02902951],[ 0.44541058  0.4477511  -0.02807416],[ 0.44315597  0.49324259 -0.01754058],[ 0.40677902  0.49422649 -0.00348724],[ 0.41165137  0.42456162 -0.02303471],[ 0.41183889  0.45137292 -0.01967836],[ 0.41180688  0.48503593 -0.01127978]
