[4.10179138e-01 6.17033005e-01 3.37900588e-08],[ 0.46051583  0.6131947  -0.04527198],[ 0.52385175  0.55148786 -0.06622742],[ 0.57372355  0.50104183 -0.08104308],[ 0.61216044  0.47458214 -0.09061939],[ 0.48962465  0.46632347 -0.04550884],[ 0.49573767  0.42471939 -0.08451254],[ 0.48651296  0.47751731 -0.09792837],[ 0.48069498  0.50248498 -0.10057732],[ 0.44218904  0.45488763 -0.03707852],[ 0.45274937  0.41562104 -0.0767018 ],[ 0.44378337  0.48327222 -0.07906999],[ 0.44455904  0.49733949 -0.07219895],[ 0.40038204  0.46124384 -0.03595655],[ 0.40811259  0.429012   -0.07423916],[ 0.40595847  0.48816198 -0.06290931],[ 0.41169858  0.49976254 -0.04660638],[ 0.36409044  0.47585642 -0.03834587],[ 0.3649289   0.44819295 -0.06056025],[ 0.36631659  0.48315662 -0.05261165],[ 0.37124634  0.49150953 -0.04143976]
[ 4.10652190e-01  6.32151186e-01 -2.75482080e-07],[ 0.47220737  0.61630619 -0.03276593],[ 0.53074545  0.5536688  -0.04799676],[ 0.57602829  0.49646133 -0.05997296],[ 0.61222976  0.46693394 -0.06489896],[ 0.48923379  0.45594856 -0.02365272],[ 0.49082008  0.41569588 -0.05207853],[ 0.48189977  0.48476732 -0.0608092 ],[ 0.48208064  0.49975282 -0.06379459],[ 0.4435426   0.44854701 -0.01907117],[ 0.44633123  0.41086385 -0.04748707],[ 0.443436    0.49694395 -0.04364417],[ 0.44539493  0.4969826  -0.03533498],[ 0.4008044   0.45152181 -0.02035341],[ 0.40148309  0.41708532 -0.04890303],[ 0.40421233  0.49216324 -0.02909954],[ 0.40876764  0.49333847 -0.01010833],[ 0.35965824  0.45843732 -0.02470856],[ 0.35741481  0.43375495 -0.03740472],[ 0.36692962  0.4839341  -0.0207338 ],[ 0.37360922  0.49346241 -0.00524322]
[ 4.11226183e-01  6.33435249e-01 -3.23479810e-07],[ 0.47369224  0.61659914 -0.03245106],[ 0.53246343  0.55479836 -0.04752168],[ 0.5768165   0.49709329 -0.05948399],[ 0.61260819  0.46796185 -0.06404072],[ 0.4897615   0.4570964  -0.02344879],[ 0.49198371  0.41495705 -0.05294779],[ 0.48155293  0.48514706 -0.06166794],[ 0.48054487  0.49860299 -0.06440111],[ 0.44507951  0.44906321 -0.01944091],[ 0.4479197   0.41110849 -0.04825498],[ 0.44491562  0.49781781 -0.04341222],[ 0.44708338  0.4962275  -0.03448207],[ 0.40243578  0.45124662 -0.02155214],[ 0.40294626  0.41665053 -0.05105706],[ 0.40535408  0.4934952  -0.0306609 ],[ 0.40937656  0.49372366 -0.01104929],[ 0.36050612  0.45728719 -0.0267536 ],[ 0.35728067  0.4311285  -0.03926858],[ 0.36650938  0.48217824 -0.02190228],[ 0.37225246  0.49260277 -0.00599814]
[ 4.12274808e-01  6.34245455e-01 -3.45793183e-07],[ 0.47611168  0.61436963 -0.02841737],[ 0.53393561  0.55222863 -0.04277188],[ 0.57735151  0.49445766 -0.05554421],[ 0.61463809  0.46458703 -0.06157635],[ 0.49021724  0.45685574 -0.01882767],[ 0.49272734  0.41881946 -0.04661901],[ 0.48209816  0.48838905 -0.05486002],[ 0.48181012  0.50117141 -0.05782847],[ 0.44607434  0.44883618 -0.01692799],[ 0.44940358  0.41495851 -0.04406432],[ 0.44558728  0.5008921  -0.03892341],[ 0.44764927  0.49898723 -0.03036281],[ 0.40365964  0.45168316 -0.02079786],[ 0.40475383  0.41629526 -0.04876161],[ 0.40658045  0.49405849 -0.02736839],[ 0.41040874  0.4967702  -0.0075777 ],[ 0.361476    0.45869294 -0.02758834],[ 0.3562457   0.43060854 -0.03974117],[ 0.36587757  0.48035985 -0.02222572],[ 0.37303501  0.49204779 -0.00637318]
[ 4.11956519e-01  6.35704279e-01 -3.44508919e-07],[ 0.47608024  0.61487299 -0.02866339],[ 0.53413004  0.55186719 -0.04290923],[ 0.57735652  0.49390274 -0.05550442],[ 0.61485863  0.46516454 -0.06112963],[ 0.48927248  0.45825839 -0.01893173],[ 0.49240503  0.41740504 -0.04711101],[ 0.48176402  0.48788527 -0.05520386],[ 0.48096997  0.50149173 -0.05787767],[ 0.44533342  0.4505688  -0.016973  ],[ 0.44894296  0.4139142  -0.04425583],[ 0.44529441  0.50100112 -0.03870368],[ 0.44756436  0.49897847 -0.02967776],[ 0.40322688  0.45328507 -0.0209465 ],[ 0.40407142  0.41652504 -0.04883204],[ 0.40619096  0.49455822 -0.02710153],[ 0.41046667  0.49666005 -0.00701096],[ 0.36128214  0.46019959 -0.02791003],[ 0.3551001   0.43125406 -0.03956291],[ 0.36543077  0.48061147 -0.02174142],[ 0.37335739  0.49224794 -0.00574215]
[ 4.11350101e-01  6.34671926e-01 -3.29230062e-07],[ 0.47553194  0.61424416 -0.02793299],[ 0.5329048   0.55377734 -0.04245968],[ 0.57724673  0.49729764 -0.05557537],[ 0.61448288  0.46699259 -0.06233425],[ 0.49158889  0.45683163 -0.01858738],[ 0.49140444  0.42032993 -0.04704265],[ 0.48168498  0.48683074 -0.05633087],[ 0.48259148  0.50181973 -0.05958744],[ 0.44692874  0.44803616 -0.01708856],[ 0.44773492  0.41794679 -0.04432759],[ 0.44484159  0.50019222 -0.04027781],[ 0.44880164  0.49912566 -0.03248043],[ 0.40364623  0.45064399 -0.02129581],[ 0.40316612  0.42026025 -0.04952057],[ 0.40542024  0.49481812 -0.02950068],[ 0.41116834  0.49714839 -0.01057194],[ 0.3608824   0.45794567 -0.02832262],[ 0.35632166  0.43129    -0.04073346],[ 0.36488181  0.48162928 -0.02331224],[ 0.37188077  0.49445257 -0.00730672]
[ 4.11926866e-01  6.33977532e-01 -3.23202642e-07],[ 0.47567588  0.61382997 -0.02811127],[ 0.53386807  0.55236107 -0.04204853],[ 0.57819337  0.49495327 -0.05443918],[ 0.61569637  0.46589425 -0.06047681],[ 0.49064243  0.45743459 -0.01825861],[ 0.49176091  0.41887012 -0.04605118],[ 0.48193991  0.48575324 -0.05470527],[ 0.48173514  0.50192964 -0.0574567 ],[ 0.44641021  0.44847468 -0.0163512 ],[ 0.44757932  0.41686279 -0.04296575],[ 0.44477618  0.49947029 -0.03866052],[ 0.4481934   0.49907467 -0.03072312],[ 0.40357861  0.45088682 -0.02015994],[ 0.4030593   0.41967517 -0.04808149],[ 0.40568098  0.49468765 -0.02813782],[ 0.41101661  0.49780896 -0.00925674],[ 0.3609226   0.45814624 -0.02674938],[ 0.35637635  0.43054882 -0.0389501 ],[ 0.36544913  0.4813219  -0.02155964],[ 0.37233055  0.49500337 -0.00564174]
[ 4.09549564e-01  6.36413813e-01 -3.56657893e-07],[ 0.47591013  0.61682928 -0.02899618],[ 0.53535956  0.55567884 -0.04251757],[ 0.57860875  0.49727398 -0.05378912],[ 0.6153487   0.46735343 -0.05802008],[ 0.49004912  0.45806256 -0.01943355],[ 0.49418655  0.41876814 -0.04755462],[ 0.48434436  0.48910046 -0.05629868],[ 0.48374882  0.50068456 -0.05944605],[ 0.44612312  0.45001996 -0.01716645],[ 0.45005459  0.41595447 -0.04435892],[ 0.44648302  0.50102538 -0.04042108],[ 0.44741434  0.49878371 -0.03289285],[ 0.40340495  0.4525454  -0.02069847],[ 0.40610367  0.41942737 -0.04916966],[ 0.4073551   0.49615914 -0.02973817],[ 0.40998799  0.49670723 -0.01115251],[ 0.36129668  0.45920873 -0.02697619],[ 0.35885337  0.43150717 -0.03905604],[ 0.3678641   0.48100647 -0.02196313],[ 0.37283421  0.49212816 -0.00640817]
[ 4.09251571e-01  6.35677814e-01 -3.35441655e-07],[ 0.47543868  0.61761975 -0.03082918],[ 0.53598952  0.55509788 -0.04426544],[ 0.57901734  0.49481821 -0.05480732],[ 0.61623615  0.4655104  -0.05808476],[ 0.48937988  0.45577565 -0.01933987],[ 0.49437061  0.41911289 -0.04668422],[ 0.48404554  0.48884594 -0.05473858],[ 0.48223573  0.49981898 -0.05747813],[ 0.44593787  0.4472118  -0.01582269],[ 0.44993204  0.41620263 -0.04264071],[ 0.4462564   0.50128061 -0.03855214],[ 0.4469552   0.49775702 -0.0308045 ],[ 0.40345159  0.44952706 -0.01829314],[ 0.40561578  0.42033663 -0.04683433],[ 0.40691224  0.49654293 -0.02797223],[ 0.40918842  0.4954237  -0.00972531],[ 0.36122632  0.4558304  -0.02362126],[ 0.35989612  0.43224406 -0.0360609 ],[ 0.36859936  0.48254609 -0.01961141],[ 0.37248898  0.49219662 -0.00445698]
[ 4.16908681e-01  6.42760396e-01 -3.01279442e-07],[ 0.47997043  0.62113619 -0.03025215],[ 0.5355463   0.55746132 -0.04324573],[ 0.57900017  0.4970099  -0.05408784],[ 0.61683041  0.46560895 -0.05772343],[ 0.49074003  0.46316835 -0.0149015 ],[ 0.49383807  0.42145807 -0.04313306],[ 0.48447171  0.48831272 -0.05280685],[ 0.48473778  0.50000912 -0.05627726],[ 0.44698277  0.45599356 -0.0115359 ],[ 0.45022228  0.41767544 -0.03798458],[ 0.44752458  0.5002442  -0.03433495],[ 0.45045191  0.49703801 -0.0268313 ],[ 0.40415666  0.4581621  -0.01468822],[ 0.40601963  0.4202967  -0.04297287],[ 0.40840793  0.49443117 -0.0241403 ],[ 0.41320714  0.49438983 -0.00571541],[ 0.36172444  0.46408853 -0.0208334 ],[ 0.35898423  0.43274072 -0.0325193 ],[ 0.36854291  0.48046488 -0.01581716],[ 3.74615729e-01  4.91819382e-01 -4.57703776e-04]
[ 4.17164087e-01  6.41892850e-01 -3.10952686e-07],[ 0.47988397  0.62107098 -0.03032839],[ 0.53585082  0.55837786 -0.04379503],[ 0.57854748  0.49853352 -0.05527355],[ 0.61586279  0.46763274 -0.05931288],[ 0.49089313  0.46472275 -0.01484265],[ 0.49439427  0.42096001 -0.04476471],[ 0.48487556  0.48946175 -0.05516372],[ 0.48528585  0.50169945 -0.05868322],[ 0.44718155  0.45704013 -0.01166122],[ 0.45061669  0.41778249 -0.04015966],[ 0.44751304  0.50141877 -0.03682753],[ 0.45083135  0.49822211 -0.02871019],[ 0.40442771  0.45850283 -0.01513995],[ 0.40628919  0.41948169 -0.04455204],[ 0.40808904  0.49428138 -0.02521397],[ 0.41302791  0.49370268 -0.00585893],[ 0.36213666  0.46344137 -0.02169854],[ 0.35988542  0.43197203 -0.03350913],[ 0.36860785  0.4809559  -0.01614252],[3.74765158e-01 4.92201030e-01 7.14149428e-05]
