[4.69855577e-01 5.88109493e-01 1.76447571e-07],[ 0.49939549  0.58670658 -0.04047414],[ 0.52723342  0.565516   -0.06088584],[ 0.53933084  0.54077989 -0.0744215 ],[ 0.53978962  0.51972431 -0.08551894],[ 0.53978086  0.48351088 -0.05612038],[ 0.55968118  0.43700743 -0.08953396],[ 0.57111901  0.39790338 -0.10792202],[ 0.57576698  0.3612873  -0.11848838],[ 0.50546783  0.46819362 -0.04561158],[ 0.50891864  0.43198773 -0.07977156],[ 0.50159603  0.49191087 -0.08072542],[ 0.5039624   0.51764184 -0.07449502],[ 0.47178268  0.46126738 -0.04025257],[ 0.47354165  0.43824479 -0.0755927 ],[ 0.46908015  0.49195871 -0.06866501],[ 0.46948922  0.51910591 -0.0550205 ],[ 0.44084376  0.45991564 -0.0381254 ],[ 0.43923339  0.40462956 -0.06893379],[ 0.4376224   0.3756125  -0.07578593],[ 0.43923491  0.34485042 -0.07500973]
[4.69554931e-01 6.12204611e-01 1.19133844e-07],[ 0.51148522  0.60706252 -0.04022051],[ 0.54764491  0.57898402 -0.05939864],[ 0.55932659  0.54412937 -0.07446174],[ 0.55729795  0.51914561 -0.08793938],[ 0.54643387  0.48169798 -0.03815592],[ 0.56098723  0.42176604 -0.06147696],[ 0.57361448  0.36767134 -0.0715287 ],[ 0.57963914  0.32466885 -0.07661069],[ 0.50746453  0.46737632 -0.02868131],[ 0.50628424  0.43364745 -0.06390663],[ 0.49805129  0.49541295 -0.06625824],[ 0.49946341  0.52349895 -0.05732364],[ 0.4721998   0.46369609 -0.02418121],[ 0.46689102  0.44472808 -0.06200193],[ 0.46533072  0.50129044 -0.05801495],[ 0.46579704  0.53014857 -0.04323652],[ 0.43954551  0.46363664 -0.02288708],[ 0.43774885  0.39572904 -0.05263324],[ 0.43622318  0.35705617 -0.05907688],[ 0.43708515  0.31662786 -0.05669356]
[4.70206410e-01 6.27113819e-01 5.45970558e-08],[ 0.52051967  0.614802   -0.03461817],[ 0.57179922  0.56888676 -0.04948105],[ 0.60814559  0.52458906 -0.06120605],[ 0.64197516  0.49854949 -0.07142322],[ 0.55144697  0.47124916 -0.03268898],[ 0.56892079  0.40034148 -0.05439894],[ 0.57721686  0.34341174 -0.06325967],[ 0.58105034  0.29717115 -0.06774891],[ 0.51179236  0.46140766 -0.02576805],[ 0.50749964  0.43032992 -0.06242915],[ 0.49860978  0.49738231 -0.06479277],[ 0.50091398  0.52691287 -0.05554372],[ 0.47475007  0.4613626  -0.02336778],[ 0.46461987  0.44048545 -0.06185804],[ 0.46533474  0.50147253 -0.05605009],[ 0.47083727  0.5330444  -0.03973206],[ 0.44093785  0.4635421  -0.02375007],[ 0.43924585  0.39557672 -0.05183111],[ 0.43644214  0.36061388 -0.05486342],[ 0.43672606  0.31937462 -0.0498476 ]
[ 4.70404744e-01  6.39353514e-01 -5.11384091e-09],[ 0.52335423  0.621939   -0.03172605],[ 0.57504416  0.56863749 -0.04316619],[ 0.61211652  0.52162242 -0.05312232],[ 0.64605105  0.49603865 -0.06082716],[ 0.55192804  0.46763051 -0.01889258],[ 0.56826186  0.39344853 -0.03561886],[ 0.57542068  0.34221977 -0.04010849],[ 0.58091533  0.29741907 -0.04134471],[ 0.51381648  0.45901138 -0.01370082],[ 0.5085755   0.43114221 -0.04722092],[ 0.49880335  0.50001025 -0.04996256],[ 0.50142878  0.52562791 -0.04086853],[ 0.4769569   0.46153179 -0.01315697],[ 0.46560287  0.44089988 -0.05192402],[ 0.46379194  0.5046069  -0.04752158],[ 0.46891752  0.53136539 -0.0313643 ],[ 0.4416455   0.46463785 -0.01496018],[ 0.43824565  0.39618447 -0.03985094],[ 0.43389544  0.36139783 -0.04009777],[ 0.43242383  0.31846428 -0.03306203]
[ 4.67677981e-01  6.40030265e-01 -4.48842101e-08],[ 0.52228838  0.62179232 -0.02897867],[ 0.57442027  0.56890041 -0.03898154],[ 0.61144757  0.5243448  -0.04830784],[ 0.64489216  0.49866685 -0.05553517],[ 0.55145532  0.46715111 -0.01579598],[ 0.56846678  0.39208826 -0.03194255],[ 0.57543731  0.34327149 -0.03674803],[ 0.58100194  0.29882988 -0.03842294],[ 0.51446825  0.45818922 -0.01228213],[ 0.50970036  0.43307608 -0.04651655],[ 0.49979714  0.49988669 -0.05187844],[ 0.50159878  0.5260793  -0.04497892],[ 0.47745061  0.46074045 -0.01294707],[ 0.46620113  0.44116953 -0.05226732],[ 0.46452659  0.50392282 -0.04945089],[ 0.47032133  0.53016156 -0.03444047],[ 0.44148493  0.46417686 -0.01562851],[ 0.43820536  0.39686471 -0.03965067],[ 0.4342865   0.36304581 -0.03917208],[ 0.43368202  0.32063088 -0.03177867]
[ 4.70598370e-01  6.42029822e-01 -6.60771207e-08],[ 0.5234403   0.62377471 -0.02860714],[ 0.57364202  0.57011378 -0.03820376],[ 0.61037952  0.52386713 -0.0471644 ],[ 0.6456089   0.49881339 -0.053982  ],[ 0.55072963  0.46825957 -0.01530897],[ 0.56743705  0.39360425 -0.03278833],[ 0.57451981  0.34556445 -0.03905933],[ 0.58042425  0.30098164 -0.04175302],[ 0.51479262  0.4587155  -0.01223529],[ 0.50869709  0.43301487 -0.04858135],[ 0.49902099  0.49808675 -0.05570268],[ 0.50122356  0.52481157 -0.04977288],[ 0.47847459  0.46061972 -0.01331598],[ 0.46458045  0.4405123  -0.0541914 ],[ 0.46321326  0.50285578 -0.05231223],[ 0.47071481  0.53065407 -0.03749467],[ 0.4428494   0.46390703 -0.01635378],[ 0.43905443  0.39711708 -0.04107036],[ 0.43517596  0.36143982 -0.04109151],[ 0.43539941  0.31766063 -0.03390457]
[ 4.69600737e-01  6.41419709e-01 -5.33201359e-08],[ 0.52287233  0.62322712 -0.02862049],[ 0.57370293  0.56993097 -0.03882286],[ 0.61109662  0.52419329 -0.04847481],[ 0.64591861  0.49954477 -0.05590703],[ 0.55138916  0.46795529 -0.01584983],[ 0.568048    0.39312091 -0.03331984],[ 0.57451957  0.34440088 -0.03924206],[ 0.5796622   0.29950842 -0.04164558],[ 0.51518357  0.45819253 -0.01277091],[ 0.50949585  0.43376669 -0.04840669],[ 0.49981999  0.49994358 -0.05450878],[ 0.50253171  0.52503955 -0.04803345],[ 0.47858498  0.4597837  -0.0138527 ],[ 0.46533778  0.43978551 -0.05408288],[ 0.46417516  0.50270003 -0.05130975],[ 0.4716267   0.52950412 -0.03614695],[ 0.44257256  0.46256012 -0.01694231],[ 0.43838444  0.39552826 -0.04120965],[ 0.43429917  0.36010128 -0.04069683],[ 0.43437663  0.3164812  -0.03318785]
[ 4.71915334e-01  6.45657003e-01 -5.18346503e-08],[ 0.52633512  0.62588781 -0.02750707],[ 0.57697451  0.56864852 -0.03499442],[ 0.61254877  0.52050489 -0.04198909],[ 0.64768928  0.49792355 -0.04697348],[ 0.55083722  0.46695793 -0.01092745],[ 0.56870145  0.39355421 -0.02574988],[ 0.57631367  0.34530216 -0.03054468],[ 0.5824638   0.30079386 -0.03250924],[ 0.51478225  0.45928252 -0.00778484],[ 0.50948697  0.43302965 -0.04213493],[ 0.50099051  0.49830654 -0.04899432],[ 0.50359559  0.52540374 -0.04283459],[ 0.47865891  0.46219778 -0.00878524],[ 0.46496558  0.44188517 -0.04822674],[ 0.46464074  0.50319505 -0.04723578],[ 0.4722532   0.52947956 -0.03311978],[ 0.44335422  0.46563917 -0.01166517],[ 0.43949616  0.39829439 -0.03577796],[ 0.43544725  0.36284167 -0.0363997 ],[ 0.43495318  0.31913716 -0.02972654]
[ 4.70697880e-01  6.45816207e-01 -4.13739443e-08],[ 0.52647483  0.62418151 -0.02527395],[ 0.57703769  0.56820667 -0.03284723],[ 0.61393523  0.52119219 -0.04064078],[ 0.64844167  0.49810916 -0.04690658],[ 0.55099988  0.46876109 -0.00964265],[ 0.56871819  0.39435455 -0.02363183],[ 0.57654375  0.34480917 -0.02847926],[ 0.58265686  0.30033892 -0.03069576],[ 0.51458514  0.46059421 -0.00809902],[ 0.51070017  0.43317491 -0.04253461],[ 0.50221479  0.49692619 -0.05084339],[ 0.50361657  0.52686781 -0.04566967],[ 0.47812068  0.46287137 -0.01020121],[ 0.46655962  0.43961614 -0.04867079],[ 0.46607667  0.49912772 -0.04796981],[ 0.47243834  0.5275377  -0.03431317],[ 0.44238108  0.46637738 -0.01408778],[ 0.43829834  0.39906123 -0.03698746],[ 0.43497759  0.36242926 -0.03710541],[ 0.43523371  0.3184489  -0.03031514]
[ 4.68770742e-01  6.40540838e-01 -4.93673049e-08],[ 0.52253741  0.62273026 -0.02906493],[ 0.57458752  0.56841189 -0.03923464],[ 0.61284417  0.5229162  -0.04911231],[ 0.64766759  0.4986937  -0.05653813],[ 0.55127412  0.46794808 -0.01497484],[ 0.56845057  0.39334005 -0.03259904],[ 0.57562929  0.34560814 -0.0372899 ],[ 0.58151764  0.30091399 -0.03848032],[ 0.51512754  0.45898327 -0.0119772 ],[ 0.50965494  0.43425658 -0.04819017],[ 0.50073516  0.50260592 -0.05321836],[ 0.50506288  0.5257585  -0.04557268],[ 0.47896951  0.46147856 -0.01340272],[ 0.46597382  0.44177422 -0.05464682],[ 0.46499202  0.50500178 -0.0507558 ],[ 0.47331429  0.52880377 -0.03444524],[ 0.443483    0.46464726 -0.01693427],[ 0.43979305  0.39772132 -0.04154745],[ 0.43583602  0.36261916 -0.04029297],[ 0.43593442  0.31900668 -0.03198082]
