[4.66366142e-01 6.57304585e-01 1.14145814e-06],[ 0.50658631  0.67860055 -0.0602254 ],[ 0.53539371  0.67329514 -0.10043813],[ 0.54519564  0.66822302 -0.13377462],[ 0.54358882  0.65741003 -0.16766889],[ 0.55318743  0.55522841 -0.09005275],[ 0.59110707  0.48854947 -0.13402686],[ 0.61373365  0.44288179 -0.16007699],[ 0.63248676  0.40450966 -0.17593302],[ 0.5117541   0.53340393 -0.08226986],[ 0.52402663  0.45473164 -0.130752  ],[ 0.52771062  0.40264961 -0.15712908],[ 0.53194535  0.3607865  -0.17111492],[ 0.47095805  0.53474241 -0.07770396],[ 0.45813257  0.49363095 -0.13202286],[ 0.45061767  0.54221231 -0.14322375],[ 0.4497633   0.58063745 -0.1388091 ],[ 0.43491262  0.55048299 -0.07651559],[ 0.42183706  0.52845639 -0.11929834],[ 0.41916108  0.56808943 -0.12396128],[ 0.42076701  0.5998559  -0.11875462]
[4.56643254e-01 6.83964431e-01 9.16394413e-07],[ 0.49443766  0.70420122 -0.04991897],[ 0.52665687  0.69684482 -0.08140028],[ 0.54172951  0.6937145  -0.1097908 ],[ 0.55164778  0.68744779 -0.13828568],[ 0.55136043  0.56311631 -0.05827191],[ 0.58947176  0.4942151  -0.09302562],[ 0.61169982  0.44757742 -0.11486571],[ 0.63112795  0.4074921  -0.12776467],[ 0.51135343  0.53569698 -0.05465699],[ 0.52521199  0.45429811 -0.09403003],[ 0.53120053  0.39192563 -0.11620804],[ 0.53658295  0.34085673 -0.12595789],[ 0.47086754  0.53555763 -0.05494601],[ 0.45525423  0.49432197 -0.10554274],[ 0.44325924  0.55094653 -0.1145836 ],[ 0.4398672   0.59639269 -0.1062945 ],[ 0.43188661  0.55320466 -0.05844292],[ 0.41413313  0.529953   -0.10013375],[ 0.40859884  0.57508409 -0.10228058],[ 0.41187003  0.61371529 -0.09295172]
[4.50798035e-01 7.02255905e-01 9.13494489e-07],[ 0.49121115  0.71156764 -0.0479039 ],[ 0.52826381  0.7009362  -0.07919151],[ 0.56271178  0.70619434 -0.10859194],[ 0.59509909  0.71138793 -0.13781303],[ 0.5470866   0.56339169 -0.0527078 ],[ 0.58699203  0.4925296  -0.08669646],[ 0.61139953  0.44668093 -0.10809132],[ 0.6329217   0.40605614 -0.12101293],[ 0.50799751  0.53641236 -0.04959014],[ 0.52582979  0.45475659 -0.08925223],[ 0.53312129  0.39274961 -0.11157065],[ 0.53982115  0.33922318 -0.12151732],[ 0.46711507  0.53635156 -0.05042673],[ 0.45420691  0.49002793 -0.10035821],[ 0.43845204  0.5461058  -0.10866757],[ 0.43273157  0.59119695 -0.09987234],[ 0.4274655   0.55393016 -0.05442578],[ 0.40804362  0.52369058 -0.09356725],[ 0.40229994  0.56585425 -0.09504835],[ 0.40645614  0.60276371 -0.0857306 ]
[4.47253823e-01 7.04604805e-01 8.75173328e-07],[ 0.48984337  0.71071756 -0.04396633],[ 0.53117889  0.69687736 -0.07256922],[ 0.57128924  0.70466238 -0.100441  ],[ 0.60891724  0.71487218 -0.12820417],[ 0.54855967  0.56179386 -0.04461112],[ 0.5885585   0.49087182 -0.07793199],[ 0.61318946  0.44650805 -0.09907322],[ 0.63423568  0.40745056 -0.11179774],[ 0.5097788   0.53473651 -0.04349147],[ 0.52813798  0.45173502 -0.08257551],[ 0.53442311  0.39263749 -0.10444993],[ 0.53909278  0.34219956 -0.11360341],[ 0.46829411  0.535115   -0.04657666],[ 0.45524415  0.48536587 -0.0966129 ],[ 0.43899104  0.54259568 -0.10547315],[ 0.43304399  0.58896357 -0.09660262],[ 0.42729187  0.55346984 -0.05254971],[ 0.40601438  0.52270836 -0.09191231],[ 0.40029401  0.56444895 -0.0940863 ],[ 0.40452489  0.60220909 -0.08499283]
[4.41660345e-01 7.06754208e-01 8.02787611e-07],[ 0.4881064   0.71432453 -0.03940441],[ 0.53167844  0.69847757 -0.06426969],[ 0.57378042  0.69847041 -0.08891718],[ 0.61567873  0.71024811 -0.11321738],[ 0.54477304  0.56365186 -0.03921432],[ 0.58648902  0.49066472 -0.07018633],[ 0.61156386  0.44603893 -0.08936062],[ 0.63283122  0.40853596 -0.10075515],[ 0.50711125  0.53533214 -0.0389759 ],[ 0.52504694  0.45076084 -0.07452045],[ 0.53358978  0.38871044 -0.09459076],[ 0.54070795  0.33764678 -0.10345929],[ 0.46567649  0.53457451 -0.04266049],[ 0.45420635  0.48243028 -0.08851434],[ 0.44004974  0.53400731 -0.09641106],[ 0.43474793  0.57923967 -0.08836573],[ 0.42533547  0.55228937 -0.04913376],[ 0.40399647  0.52031082 -0.08599739],[ 0.39852411  0.55876905 -0.088485  ],[ 0.40218228  0.59597725 -0.08034679]
[4.44912136e-01 7.08708644e-01 7.94472669e-07],[ 0.49105051  0.71574992 -0.04021985],[ 0.5342139   0.69923097 -0.06568895],[ 0.57571667  0.70013797 -0.09084025],[ 0.61825532  0.7135796  -0.11573059],[ 0.54504681  0.56324416 -0.04089073],[ 0.58662814  0.49022174 -0.07203978],[ 0.61164117  0.44533247 -0.09146572],[ 0.63321429  0.40728527 -0.10321555],[ 0.50686836  0.53614312 -0.04048328],[ 0.5241909   0.45027816 -0.07612923],[ 0.53270179  0.38883117 -0.09623849],[ 0.53986412  0.33834696 -0.10550079],[ 0.46502784  0.53623849 -0.04398349],[ 0.45385975  0.48202053 -0.09005091],[ 0.4413445   0.53440374 -0.09777913],[ 0.43671659  0.58019584 -0.08986419],[ 0.42468086  0.55445457 -0.05034367],[ 0.40409544  0.51965934 -0.08749905],[ 0.39921966  0.55886507 -0.08989186],[ 0.40237942  0.5966841  -0.0818933 ]
[4.45932865e-01 7.06487000e-01 8.11831171e-07],[ 0.48677653  0.71528816 -0.04368734],[ 0.53035158  0.70126641 -0.06983674],[ 0.57257146  0.70202756 -0.09465503],[ 0.61242801  0.71234071 -0.11904494],[ 0.54398453  0.56407672 -0.04520995],[ 0.58604795  0.49154925 -0.07538878],[ 0.61079317  0.44806167 -0.09433898],[ 0.63162559  0.41070759 -0.10628034],[ 0.50666416  0.53631377 -0.04271185],[ 0.5263797   0.44989172 -0.07614548],[ 0.53438133  0.3897239  -0.09684454],[ 0.54137552  0.34045213 -0.10769275],[ 0.46664235  0.53652996 -0.04400981],[ 0.45351836  0.47643059 -0.08741962],[ 0.43226665  0.51576233 -0.09800901],[ 0.42174989  0.55468225 -0.09387769],[ 0.42715761  0.55519807 -0.04844239],[ 0.40203881  0.51929319 -0.08492696],[ 0.39324489  0.55025393 -0.09040497],[ 0.39513654  0.5848735  -0.08563826]
[4.45471942e-01 7.05821037e-01 8.12434166e-07],[ 0.48687077  0.71506304 -0.04394834],[ 0.53141212  0.70096427 -0.0701687 ],[ 0.57456464  0.70240331 -0.09514143],[ 0.61508602  0.71175277 -0.1198118 ],[ 0.5441125   0.56374782 -0.0445797 ],[ 0.58565199  0.49164057 -0.07479299],[ 0.61018336  0.44795322 -0.0939835 ],[ 0.63079351  0.4099876  -0.10613429],[ 0.50683993  0.53583622 -0.04254725],[ 0.52734315  0.44941193 -0.07576202],[ 0.5353629   0.38932508 -0.09645279],[ 0.54169172  0.33993164 -0.10728515],[ 0.4663702   0.53630447 -0.04452102],[ 0.45388556  0.47562563 -0.0888491 ],[ 0.43348268  0.51635438 -0.10025995],[ 0.42337811  0.55654621 -0.09644249],[ 0.4260532   0.55548209 -0.04959951],[ 0.40129179  0.51949346 -0.08728109],[ 0.39268857  0.55104023 -0.09347656],[ 0.39429462  0.58618575 -0.0890936 ]
[4.46655750e-01 7.08209038e-01 7.53598499e-07],[ 0.48926884  0.7142635  -0.04348944],[ 0.53374988  0.7016992  -0.06957008],[ 0.57639825  0.69763571 -0.09378152],[ 0.61729813  0.70346451 -0.1175834 ],[ 0.54434937  0.5646264  -0.04910015],[ 0.58608484  0.49319947 -0.07683215],[ 0.60926652  0.44909966 -0.09527404],[ 0.62945288  0.41102454 -0.10813444],[ 0.50754732  0.53535491 -0.04682122],[ 0.52714896  0.44731688 -0.07563357],[ 0.53531903  0.38691905 -0.09744135],[ 0.54216689  0.34198341 -0.11220106],[ 0.46765053  0.53461355 -0.04806916],[ 0.45698711  0.46598223 -0.08539466],[ 0.43549061  0.47409967 -0.10384778],[ 0.42002496  0.49693245 -0.10996147],[ 0.42810705  0.55219525 -0.05245671],[ 0.40387714  0.50600284 -0.0866717 ],[ 0.38680339  0.51121616 -0.09980071],[ 0.37562472  0.5289188  -0.10383829]
[4.46750104e-01 7.08435178e-01 7.50039362e-07],[ 0.488491   0.7142368 -0.0431097],[ 0.53236836  0.70199257 -0.06950789],[ 0.57359904  0.69714916 -0.09409972],[ 0.61283106  0.70042241 -0.11830967],[ 0.54400092  0.56467599 -0.04987727],[ 0.58532393  0.49240205 -0.07820605],[ 0.60852212  0.44842491 -0.097146  ],[ 0.62899697  0.41006562 -0.11045554],[ 0.50767279  0.53556651 -0.04785416],[ 0.52777481  0.44741014 -0.07718699],[ 0.53602701  0.38665837 -0.09952973],[ 0.54284102  0.34047997 -0.1148228 ],[ 0.46829039  0.5351935  -0.04923375],[ 0.45766261  0.46541366 -0.08658668],[ 0.43544048  0.47289962 -0.10536669],[ 0.41923463  0.4947561  -0.11200365],[ 0.42921847  0.55360472 -0.05371202],[ 0.40415952  0.50874937 -0.08811086],[ 0.38771448  0.51236004 -0.10189814],[ 0.37756386  0.52748698 -0.1066062 ]
