[4.41653460e-01 6.87193871e-01 5.52257632e-07],[ 0.4822174   0.68873101 -0.0279741 ],[ 0.515297    0.67053586 -0.04595737],[ 0.54245496  0.64741099 -0.0602791 ],[ 0.5642134   0.63072407 -0.0744779 ],[ 0.50939047  0.57017797 -0.04303328],[ 0.55079877  0.5345419  -0.06558171],[ 0.58035976  0.51735151 -0.08161204],[ 0.6027298   0.50685567 -0.09251316],[ 0.48258623  0.53591084 -0.04338377],[ 0.5097115   0.46375754 -0.0636218 ],[ 0.52801824  0.41664883 -0.07722748],[ 0.54029769  0.37807974 -0.08660644],[ 0.44961667  0.52576464 -0.04604995],[ 0.46256411  0.44563183 -0.06870369],[ 0.47375837  0.39162594 -0.08562785],[ 0.48170233  0.35140854 -0.09605803],[ 0.41422492  0.53728116 -0.04987984],[ 0.39947325  0.47325191 -0.07300431],[ 0.39011031  0.42902318 -0.08540139],[ 0.38393867  0.39199436 -0.09229503]
[4.43596035e-01 7.14091301e-01 5.02577564e-07],[ 0.49255466  0.70825893 -0.02863981],[ 0.53696841  0.67824584 -0.04545591],[ 0.57552367  0.64750022 -0.05988427],[ 0.60803235  0.6278342  -0.07374969],[ 0.51341611  0.57454705 -0.0284238 ],[ 0.5509721   0.53686529 -0.0489664 ],[ 0.58056557  0.51551652 -0.06418819],[ 0.60362995  0.50621617 -0.07402392],[ 0.48410463  0.54138494 -0.02843136],[ 0.50981444  0.46453357 -0.04405785],[ 0.52742279  0.41661313 -0.05322503],[ 0.54051304  0.37615249 -0.05889744],[ 0.45133638  0.53037262 -0.0325835 ],[ 0.46339983  0.4489134  -0.05252097],[ 0.47510114  0.39508599 -0.06566956],[ 0.4839766   0.35229445 -0.07301135],[ 0.41692728  0.54091048 -0.03880254],[ 0.4009805   0.4728004  -0.06066409],[ 0.39127305  0.42534515 -0.07092342],[ 0.3844308   0.38346657 -0.07597784]
[4.40657169e-01 7.30572045e-01 4.80066774e-07],[ 0.49502128  0.71548712 -0.02410904],[ 0.54372209  0.68225384 -0.03851707],[ 0.58774549  0.64511484 -0.05227764],[ 0.62175655  0.61482257 -0.0655936 ],[ 0.51011068  0.57539886 -0.01682232],[ 0.55063915  0.53417557 -0.03652958],[ 0.5807848   0.51319087 -0.05219198],[ 0.60438156  0.50396067 -0.06198939],[ 0.48231792  0.5435698  -0.01811746],[ 0.50916028  0.46544844 -0.03213112],[ 0.52774149  0.41878372 -0.0420512 ],[ 0.54200959  0.37707067 -0.04875727],[ 0.45095593  0.53256142 -0.02374824],[ 0.46354151  0.4485147  -0.04168013],[ 0.47416392  0.39663935 -0.05310015],[ 0.48285386  0.35496157 -0.05963292],[ 0.41676724  0.54192621 -0.03146208],[ 0.40129369  0.47438291 -0.05029345],[ 0.39294529  0.42886436 -0.05825946],[ 0.38734064  0.38890061 -0.06195187]
[4.42274332e-01 7.32507408e-01 5.05489766e-07],[ 0.49755234  0.71446145 -0.02463241],[ 0.5479911   0.68282843 -0.03937761],[ 0.59318674  0.64513999 -0.05367807],[ 0.62801611  0.61223859 -0.06772875],[ 0.50997943  0.57544655 -0.01333803],[ 0.55069548  0.53652614 -0.03308331],[ 0.58075362  0.51478809 -0.04965907],[ 0.60423797  0.50523448 -0.05971612],[ 0.48250294  0.54548633 -0.01442474],[ 0.50809652  0.46428883 -0.02756909],[ 0.52632999  0.41681981 -0.03797484],[ 0.54070628  0.37551492 -0.04516409],[ 0.45130563  0.5356853  -0.02021553],[ 0.46364063  0.45001155 -0.03748879],[ 0.47412243  0.39748931 -0.04878625],[ 0.48348859  0.35602143 -0.0552748 ],[ 0.41634083  0.54480618 -0.02823864],[ 0.40070218  0.47642213 -0.04589941],[ 0.39273465  0.43017077 -0.05298537],[ 0.38749489  0.38956672 -0.05621134]
[4.42481875e-01 7.39095271e-01 4.98292138e-07],[ 0.49923342  0.71860933 -0.02369131],[ 0.54867274  0.68415487 -0.03821093],[ 0.59228051  0.64478028 -0.05272479],[ 0.62772352  0.61297554 -0.06685651],[ 0.51006085  0.57636631 -0.01067219],[ 0.54971409  0.5369581  -0.03043793],[ 0.57978469  0.5168497  -0.04730721],[ 0.60320628  0.50855047 -0.05744831],[ 0.48170286  0.54665351 -0.01239663],[ 0.50802106  0.46534586 -0.02509537],[ 0.52601588  0.41855311 -0.03508071],[ 0.53990871  0.37736166 -0.04195272],[ 0.4497261   0.53638911 -0.01900205],[ 0.4616594   0.45224318 -0.03523088],[ 0.47246435  0.3994146  -0.04563278],[ 0.48230392  0.35710207 -0.05164171],[ 0.41360664  0.54490876 -0.02797165],[ 0.39901096  0.47724921 -0.04365568],[ 0.39247155  0.43057236 -0.04927604],[ 0.38857216  0.39000288 -0.05173538]
[4.43349749e-01 7.38167644e-01 5.02896341e-07],[ 0.50034219  0.71706104 -0.02243296],[ 0.55007255  0.68324345 -0.03646854],[ 0.5935297   0.64431918 -0.05079807],[ 0.62809241  0.61258483 -0.06480027],[ 0.51122129  0.57640189 -0.0091391 ],[ 0.55142164  0.53684694 -0.02791823],[ 0.58113706  0.51518553 -0.04368221],[ 0.60399097  0.50622302 -0.05295783],[ 0.48311618  0.54701161 -0.01118836],[ 0.50914371  0.46618852 -0.02298169],[ 0.52643406  0.41847494 -0.03183222],[ 0.53945869  0.37651262 -0.03770054],[ 0.45137915  0.53638738 -0.01806547],[ 0.46337932  0.45195299 -0.03380056],[ 0.47343338  0.39872453 -0.04360405],[ 0.48217943  0.35689643 -0.04897748],[ 0.4151397   0.54405826 -0.02718356],[ 0.39964098  0.4772844  -0.04288943],[ 0.39208296  0.43152982 -0.04836751],[ 0.38723359  0.3923158  -0.05043339]
[4.42687750e-01 7.37545490e-01 4.74493959e-07],[ 0.49769789  0.71804476 -0.02287355],[ 0.54961574  0.68124688 -0.03585186],[ 0.59389269  0.64312786 -0.0485077 ],[ 0.62850124  0.61059499 -0.06087333],[ 0.50917602  0.57409984 -0.01157597],[ 0.54824042  0.53573412 -0.03033232],[ 0.57798839  0.51707357 -0.04694543],[ 0.60207349  0.50675619 -0.05738109],[ 0.48143286  0.54411691 -0.01388375],[ 0.50690532  0.4642612  -0.0262551 ],[ 0.52506977  0.41641638 -0.0372508 ],[ 0.53884447  0.37435508 -0.04523654],[ 0.4496347   0.53487337 -0.0207236 ],[ 0.46128166  0.45099965 -0.03719876],[ 0.4711189   0.39842659 -0.04911032],[ 0.48015174  0.3549273  -0.05628967],[ 0.41407019  0.54516852 -0.02968937],[ 0.3983162   0.47682554 -0.04607074],[ 0.39057377  0.4298566  -0.05272129],[ 0.38631129  0.38849139 -0.0560009 ]
[4.42483515e-01 7.37251222e-01 4.62245993e-07],[ 0.49684778  0.71811587 -0.02192784],[ 0.54906952  0.68119431 -0.03429101],[ 0.59343898  0.64289343 -0.04644747],[ 0.62845045  0.61110723 -0.05837787],[ 0.50899053  0.57320374 -0.0105322 ],[ 0.54931068  0.53562552 -0.02899498],[ 0.57950109  0.516258   -0.04554676],[ 0.60362548  0.50462395 -0.05608236],[ 0.48193127  0.54316515 -0.01313106],[ 0.5078581   0.46419239 -0.02535286],[ 0.52574313  0.41670337 -0.03614855],[ 0.53860253  0.37575984 -0.04399598],[ 0.45047209  0.53401107 -0.02021785],[ 0.46293151  0.45013279 -0.03678814],[ 0.47251609  0.39744771 -0.04861088],[ 0.48087016  0.35421619 -0.05567595],[ 0.4149062   0.54446995 -0.02931757],[ 0.39888626  0.47682989 -0.04619806],[ 0.39060292  0.43053016 -0.05308019],[ 0.38560712  0.38969031 -0.05639865]
[4.41824257e-01 7.39293694e-01 4.76205713e-07],[ 0.49898505  0.71816844 -0.02303717],[ 0.55167574  0.67984384 -0.03573172],[ 0.59326482  0.63953424 -0.04823325],[ 0.62723547  0.60801333 -0.060453  ],[ 0.5084399   0.57594234 -0.01037979],[ 0.54711217  0.53631395 -0.03012012],[ 0.57745212  0.5157159  -0.0477111 ],[ 0.60178846  0.50395155 -0.05872215],[ 0.48034793  0.54649085 -0.0128103 ],[ 0.50550979  0.46543604 -0.02654443],[ 0.52447933  0.41711733 -0.03849372],[ 0.53849691  0.37526578 -0.04697803],[ 0.44819331  0.5366559  -0.01995482],[ 0.46034843  0.4508613  -0.03765656],[ 0.47145346  0.39859271 -0.04993944],[ 0.48122209  0.35616052 -0.05707049],[ 0.4123486   0.54559296 -0.02926089],[ 0.39784095  0.47592151 -0.04612829],[ 0.39102763  0.42914134 -0.05285145],[ 0.38700339  0.38813508 -0.05621038]
[4.41396624e-01 7.38382578e-01 4.72037499e-07],[ 0.49868026  0.7166692  -0.02206259],[ 0.55181122  0.67884445 -0.03418268],[ 0.59351212  0.63886571 -0.04624095],[ 0.62701738  0.60762286 -0.05813295],[ 0.50965208  0.57514018 -0.00871755],[ 0.54833794  0.53631198 -0.02730837],[ 0.57801902  0.51531708 -0.04411504],[ 0.60183728  0.50304461 -0.05475546],[ 0.48146251  0.54577589 -0.01140342],[ 0.5063256   0.4652212  -0.02432252],[ 0.52459991  0.41699517 -0.03591857],[ 0.53818524  0.37487757 -0.044279  ],[ 0.44905862  0.53567827 -0.01875318],[ 0.46197814  0.44984293 -0.03606742],[ 0.47271124  0.39771312 -0.04856779],[ 0.48219082  0.35556287 -0.0559377 ],[ 0.41269457  0.54409975 -0.02813419],[ 0.39789182  0.47461098 -0.04500899],[ 0.3906768   0.4285363  -0.05202648],[ 0.38655433  0.38799495 -0.05563788]
